Data Set,Cat,API,APIa,Random,API,APIa,Random,
isolet,c,1.0,1.0,1.0,2616.5701513051986,2102.1811517238616,1622.6903721094131,
letter,c,1.0,1.0,1.0,3836.5581924915314,865.0227365493774,3347.6389320373537,
sensorless,c,1.0,1.0,1.0,4703.4483880519865,945.5585790157318,947.6336722254753,
year,c,1.0,1.0,1.0,891.9815603971481,921.0224842548371,2496.793157041073,
boston,r,0.0,0.2,0.0,1740.9515625238419,1427.6612257957458,1551.1140397071838,
ccpp,r,1.0,0.4,1.0,1882.8996399879456,2385.0826315402983,1694.2849804639816,
forest,r,0.0,0.0,0.0,2614.2557094097137,2255.983031463623,2376.0007588624953,
phsioco,r,0.3,0.2,1.0,4083.4994844198227,952.6419573783875,3656.1930467367174,
ctslice,r,1.0,1.0,1.0,1925.3368579864502,957.4678728580475,1720.916183614731,
cifar100,i,1.0,1.0,1.0,3345.558440768719,6694.6908358335495,5874.306224381924,
mnist,i,1.0,1.0,1.0,5511.919865584374,2240.462550497055,12982.030718608336,
crowdflower,s,1.0,1.0,1.0,1801.2634256362915,1076.8517503261567,2517.6714376688005,
imdb,s,1.0,1.0,1.0,2631.9352440357206,1435.2274938651494,2587.6235786437987,
